text,department,section,priority,time_bucket
"Please schedule a 2 hour circuit breaker testing next thursday in the midnight window on near Kanpur, routine",trd,CNB-ALD,low,night
a 3h traction motor check on NDLS-MTJ day after tomorrow during the evening,trd,NDLS-MTJ,medium,evening
"Can you schedule schedule a 3h point machine repair in the midnight window on near Agra, minor",st,AGC-CNB,low,night
"Requesting to plan level crossing signal check on AGC-CNB during the afternoon in a week, non-urgent",st,AGC-CNB,low,afternoon
Please plan ballast renewal on Ghaziabad section during the evening in 3 days,engg,NDLS-MTJ,medium,evening
"We need to plan overhead line repair on ALD-MGS in the pre-dawn hours next monday, urgent",trd,ALD-MGS,critical,early_morning
"point machine repair on the Prayagraj-Mughalsarai stretch during the evening , as soon as possible a 2 hour tonight",st,ALD-MGS,high,evening
"Kindly need optical fiber repair on the Agra-Kanpur stretch in a week during the morning, non-urgent",st,AGC-CNB,low,morning
Can you schedule plan traction substation check on the Kanpur-Prayagraj stretch during the evening day after tomorrow,trd,CNB-ALD,medium,evening
"Requesting to schedule a quick track patrolling tonight during the evening on the Delhi-Mathura corridor, low priority",engg,NDLS-MTJ,low,evening
"deep screening on BPL-ET during the afternoon , high priority a 1h next tuesday",engg,BPL-ET,high,afternoon
"Can you schedule need track geometry check on the Prayagraj-Mughalsarai stretch next thursday, routine",engg,ALD-MGS,low,unspecified
circuit breaker testing on the Pandit Deen Dayal Upadhyaya Jn section during the afternoon a 2h next thursday,trd,ALD-MGS,medium,afternoon
"Please need OHE wire tensioning on near Bhopal next thursday before dawn, low priority",trd,BPL-ET,low,early_morning
route relay interlocking check on Agra Cantt section during the morning day after tomorrow,st,MTJ-AGC,medium,morning
As soon as possible overhead line repair required near near Kanpur this weekend overnight,trd,CNB-ALD,high,night
"Kindly schedule a 4h pantograph inspection next thursday during the evening on Itarsi section, important",trd,BPL-ET,high,evening
"a 1h deep screening on the Bhopal-Itarsi stretch next saturday late at night, important",engg,BPL-ET,high,night
"telecom cable repair on Itarsi section early morning , top priority a 1h next thursday",st,BPL-ET,critical,early_morning
Requesting to plan relay room maintenance on Bhopal to Itarsi in the morning in 3 days,st,BPL-ET,medium,morning
"We need to schedule a 2 hour sleeper replacement in a week early morning on BPL-ET, priority",engg,BPL-ET,high,early_morning
"auto tensioning device check on AGC-CNB in the evening , an emergency a 2h next monday",trd,AGC-CNB,critical,evening
Minor insulator cleaning required near Kanpur to Allahabad next monday early morning,trd,CNB-ALD,low,early_morning
"Please schedule a 4h pantograph inspection next friday during the morning on Bhopal to Itarsi, top priority",trd,BPL-ET,critical,morning
"schedule a 4h auto tensioning device check next tuesday in the morning on Itarsi section, non-urgent",trd,BPL-ET,low,morning
"Kindly need rail welding repair on Agra to Kanpur next wednesday in the afternoon, an emergency",engg,AGC-CNB,critical,afternoon
"optical fiber repair on the Bhopal-Itarsi stretch , an emergency a 1h this weekend",st,BPL-ET,critical,unspecified
"Requesting to need rail welding repair on Agra to Kanpur this weekend, non-urgent",engg,AGC-CNB,low,unspecified
Priority optical fiber repair required near Mathura to Agra this weekend before dawn,st,MTJ-AGC,high,early_morning
"insulator cleaning on the Kanpur-Prayagraj stretch , important a 2 hour next thursday",trd,CNB-ALD,high,unspecified
"Please schedule a 3h interlocking check next friday in the evening on ALD-MGS, asap",st,ALD-MGS,critical,evening
"plan block section telephone repair on the Pandit Deen Dayal Upadhyaya Jn section in the pre-dawn hours next friday, top priority",st,ALD-MGS,critical,early_morning
"Requesting to need signal failure attention on Ghaziabad section next thursday in the afternoon, priority",st,NDLS-MTJ,high,afternoon
"We need to need OHE inspection on near Kanpur today in the pre-dawn hours, top priority",trd,CNB-ALD,critical,early_morning
"traction substation check on ALD-MGS overnight , immediately a 1h next tuesday",trd,ALD-MGS,critical,night
"Requesting to plan OHE wire tensioning on near Kanpur during the afternoon today, whenever convenient",trd,CNB-ALD,low,afternoon
"a 1h rail joint repair on AGC-CNB this weekend in the evening, priority",engg,AGC-CNB,high,evening
"Kindly schedule a 2 hour relay room maintenance tomorrow in the afternoon on the Bhopal-Itarsi stretch, non-urgent",st,BPL-ET,low,afternoon
"a 1h axle counter testing on BPL-ET tomorrow in the afternoon, top priority",st,BPL-ET,critical,afternoon
"Please plan OHE inspection on the Kanpur-Prayagraj stretch next tuesday, critical",trd,CNB-ALD,critical,unspecified
Requesting to need broken rail repair on New Delhi to Mathura next friday,engg,NDLS-MTJ,medium,unspecified
"rail grinding on the Mathura-Agra stretch during the morning , priority a 3h",engg,MTJ-AGC,high,morning
"rail joint repair on Itarsi section during the morning , routine a 3h in 3 days",engg,BPL-ET,low,morning
"Please need signal cable inspection on near Mathura tomorrow during the evening, low priority",st,MTJ-AGC,low,evening
"Kindly schedule a 1h catenary wire repair next tuesday in the evening on CNB-ALD, whenever convenient",trd,CNB-ALD,low,evening
signal circuit testing on Ghaziabad section in the evening a 2h,st,NDLS-MTJ,medium,evening
"Kindly a 2h power supply inspection on NDLS-MTJ in a week in the afternoon, important",trd,NDLS-MTJ,high,afternoon
"Can you schedule need formation strengthening on MTJ-AGC next tuesday, low priority",engg,MTJ-AGC,low,unspecified
We need to a 2 hour signal cable inspection on the Kanpur-Prayagraj stretch next thursday during the morning,st,CNB-ALD,medium,morning
circuit breaker testing on Agra to Kanpur in the afternoon a quick next friday,trd,AGC-CNB,medium,afternoon
"We need to plan track inspection on the Agra-Kanpur stretch early morning next monday, minor",engg,AGC-CNB,low,early_morning
Requesting to need rail welding repair on near Prayagraj next wednesday,engg,ALD-MGS,medium,unspecified
"ballast renewal on the Bhopal-Itarsi stretch in the evening , low priority next thursday",engg,BPL-ET,low,evening
Important broken rail repair required near Ghaziabad section late at night,engg,NDLS-MTJ,high,night
"We need to a 3h signal maintenance on the Prayagraj-Mughalsarai stretch next thursday at night, whenever convenient",st,ALD-MGS,low,night
a 1h sleeper replacement on near Bhopal in 3 days during the evening,engg,BPL-ET,medium,evening
catenary wire repair required near Mathura to Agra today during the morning,trd,MTJ-AGC,medium,morning
feeder cable maintenance required near Bhopal to Itarsi today,trd,BPL-ET,medium,unspecified
"circuit breaker testing on New Delhi-Ghaziabad stretch early morning , top priority a quick next wednesday",trd,NDLS-MTJ,critical,early_morning
"Kindly a 2 hour optical fiber repair on the Delhi-Mathura corridor next friday in the pre-dawn hours, critical",st,NDLS-MTJ,critical,early_morning
"rail joint repair on the Agra-Kanpur stretch in the morning , critical a 3h tomorrow",engg,AGC-CNB,critical,morning
"Requesting to schedule a quick interlocking check next tuesday on Agra to Kanpur, priority",st,AGC-CNB,high,unspecified
need traction transformer check on the Delhi-Mathura corridor tomorrow in the midnight window,trd,NDLS-MTJ,medium,night
"We need to schedule a 2 hour OHE snag rectification in 3 days overnight on the Prayagraj-Mughalsarai stretch, minor",trd,ALD-MGS,low,night
"Requesting to a 1h level crossing signal check on Prayagraj section in 3 days overnight, priority",st,CNB-ALD,high,night
"need rail grinding on Agra Cantt section today during the morning, priority",engg,MTJ-AGC,high,morning
"Can you schedule plan telecom cable repair on AGC-CNB before dawn next wednesday, high priority",st,AGC-CNB,high,early_morning
need interlocking check on NDLS-MTJ in a week during the evening,st,NDLS-MTJ,medium,evening
"Kindly need signal cable inspection on New Delhi-Ghaziabad stretch tonight, important",st,NDLS-MTJ,high,unspecified
"need relay room maintenance on MTJ-AGC day after tomorrow during the morning, priority",st,MTJ-AGC,high,morning
"We need to need axle counter testing on Itarsi section day after tomorrow late at night, priority",st,BPL-ET,high,night
overhead line repair on Kanpur Central section a 2h day after tomorrow,trd,AGC-CNB,medium,unspecified
"Please need rail welding repair on Agra to Kanpur next friday during the morning, minor",engg,AGC-CNB,low,morning
"Requesting to plan block instrument check on near Kanpur in the pre-dawn hours next thursday, asap",st,CNB-ALD,critical,early_morning
"track patrolling on Kanpur to Allahabad , minor a quick in a week",engg,CNB-ALD,low,unspecified
"We need to a 2 hour point machine repair on near Bhopal this weekend, as soon as possible",st,BPL-ET,high,unspecified
